,ac1A,ac1B,ac2A,ac2B,ac3A,ac3B,ac4,Or1a,Or2a,Or7a,Or9a,Or10a,Or13a,Or19a,Or22a,Or22b,Or22c,Or23a,Or24a,Or30a,Or33a,Or33b,Or33c,Or35a,Or42a,Or42b,Or43a,Or43b,Or45a,Or45b,Or46a,Or47a,Or47b,Or49a,Or49b,Or59a,Or59b,Or59c,Or65a,Or67a,Or67b,Or67c,Or67d,Or71a,Or74a,Or82a,Or85a,Or85b,Or85c,Or85d,Or85e,Or85f,Or88a,Or92a,Or94a,Or94b,Or98a,Gr21a.Gr63a,ab2B,ab4B,ab5B,pb2A,Or69a,ac1,ac2,ac3_noOr35a,Ir31a,Ir41a,Ir75a,Ir75d,Ir76a,Ir84a,Ir92a,Ir64a.DC4,Ir64a.DP1m,ac1BC,ac2BC,Or83c
gamma-butyrolactone,0.0,0.0,0.0,0.0,0.0,0.0,0.0843292163289373,0.0,0.0710694363747978,0.131842126242083,0.226697302146408,0.0501368225733456,0.0,0.0830219606410761,0.167099878336616,0.0,0.0,0.0279017755494215,0.0,0.0,0.0,0.0682799215717961,0.0,0.322102658106673,0.0,0.0,0.0436805789185792,0.107050170047235,0.0,0.0,0.0,0.0523655361235191,0.267348218700223,0.0,0.0564810066456328,0.0,0.0527077103058883,0.0,0.0787705068840572,0.251991170410628,0.0,0.0503900030651769,0.0,0.0,0.0,0.0137959957286611,0.0296876777741709,0.161897007082224,0.0,0.0,0.0,0.102806214244798,0.0603937569214624,0.0,0.0,0.0,0.103396314583975,0.0,0.0,0.0,0.0,0.0,0.0,0.214993085604675,0.226530612244898,0.161479708543202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gamma-hexalactone,0.0872475177380575,0.0392222594703319,0.0230598479378677,0.0384011815748177,0.13726182405347,0.56392030344379,0.0794202238678013,0.0,0.0860264073464582,0.028057760905105,0.373229715378667,0.103401518629283,0.0,0.105322886215607,0.386093531856131,0.0,0.0,0.0614206549627901,0.0,0.0,0.0,0.126261772449679,0.0,0.597381104804987,0.0,0.0,0.12921175779527,0.168394287454202,0.0,0.0,0.0,0.104856640852969,0.129463467793873,0.0,0.0564810066456328,0.0,0.0576337441832341,0.0,0.114174747404041,0.115533936882703,0.0,0.0946714820710876,0.0,0.0,0.0,0.0306406218868117,0.0384193477077506,0.182107819258478,0.0,0.0,0.0,0.21568125963464,0.0624653974294564,0.0,0.0,0.0,0.0879768154927999,0.0,0.0,0.0,0.0,0.0,0.0,0.274613016906812,0.226530612244898,0.0713027284476474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gamma-octalactone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0662034800114807,0.0419092519684363,0.154334109778592,0.103401518629283,0.0,0.112378671187681,0.162426955324261,0.0,0.0,0.025755485122543,0.0,0.0,0.0,0.0782852669010495,0.0,0.178278845053753,0.0,0.0,0.071301668778723,0.153308457977331,0.0,0.0,0.0,0.0843403468292505,0.150001964228441,0.0,0.0538853508417014,0.0,0.0122738313703022,0.0,0.119768980988405,0.0662603430508704,0.0,0.0426428814331834,0.0,0.0,0.0,0.0667111129074835,0.0209560078405912,0.589971848675731,0.0,0.0,0.0,0.12427322352598,0.0231042277775713,0.0,0.0,0.0,0.332522347092561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gamma-decalactone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0472647503243972,0.056988026898793,0.071824744018302,0.0543168897498642,0.0,0.0634822346852659,0.0985536785120147,0.0,0.0,0.0128777425612715,0.0,0.0,0.0,0.100885330643317,0.0,0.049907947182715,0.0,0.0,0.0298867118916595,0.0078107650677281,0.0,0.0,0.0,0.0329475608099866,0.190696749046354,0.0,0.0577640141437555,0.0,0.00675840448088825,0.0,0.0527466368479647,0.0251995542880459,0.0,0.0160719657018802,0.0,0.0,0.0,0.0124282434790821,0.0244486758140231,0.0472845771188642,0.0,0.0,0.0,0.0195107155712656,0.0707519594614322,0.0,0.0,0.0,0.0420149164861622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta-decalactone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0495900793702409,0.0519553270291804,0.0685361297688728,0.0474038897255005,0.0,0.0639690918007066,0.083948880155508,0.0,0.0,0.0150240329881501,0.0,0.0,0.0,0.0944948354473489,0.0,0.0264796979105934,0.0,0.0,0.0344846675672994,0.0078107650677281,0.0,0.0,0.0,0.0388743391466449,0.187945732034052,0.0,0.0525715292470565,0.0,0.0157274381014439,0.0,0.0423089190901143,0.0158667353205007,0.0,0.0144228372675282,0.0,0.0,0.0,0.016531500227819,0.04941399811232,0.0844324554767383,0.0,0.0,0.0,0.0298460002697485,0.0541788353974806,0.0,0.0,0.0,0.0389657899764776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanoic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0449502761471687,0.0536948903493567,0.119083324318581,0.136451221358142,0.0,0.0963124557369899,0.143219222466663,0.0,0.0,0.00214629042687858,0.0,0.0,0.0,0.0168270210004114,0.0,0.0765359653863246,0.0,0.0,0.0505775124320391,0.0234322952031843,0.0,0.0,0.0,0.0368971276966657,0.14737197775671,0.0,0.0615601163979373,0.0,0.0739976571088347,0.0,0.0660576345477512,0.0214886865895476,0.0,0.0351946508168096,0.0,0.0,0.0,0.0124282434790821,0.027941343787455,0.0506620469130688,0.0,0.0,0.0,0.0579352420279559,0.0562504759054745,0.0,0.0,0.0,0.0267871183233123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202764976958525
acetic acid,0.0,0.0,0.0,0.0,0.465392008125088,0.0110764472437579,0.100860624391055,0.0,0.0613929806984551,0.0611838650292284,0.103746891075084,0.0175375451244834,0.0394095080520441,0.0999537428852865,0.1407523632563,0.0,0.0,0.0171703234150286,0.0,0.0,0.0,0.0342969062640888,0.0,0.0565795823044691,0.0,0.0330799471732554,0.0952840397914614,0.0332973645862552,0.0,0.0,0.0,0.0428336781632899,0.124782317540054,0.0,0.06405148917545,0.0,0.0717210204921607,0.0,0.0724828524154027,0.00596982539944234,0.185502704707308,0.0245324699453187,0.0,0.0,0.0,0.0408633953741835,0.04941399811232,0.0945356323420958,0.0,0.0,0.0,0.0698414112785959,0.0458922733655048,0.00822881578408516,0.0,0.0,0.0726080008843418,0.142120307979525,0.0,0.00675410604604194,0.0,0.0,0.270577395577396,0.295389659633314,0.866326530612245,0.13945974828731,0.045645874121453,0.294425065901394,0.644234722765712,0.0828606574181644,0.0,0.169906351691273,0.00852058970255313,1.0,0.490997964519858,0.0,0.0,0.115207373271889
propanoic acid,0.134173805669031,0.0435802883003688,0.244227086987383,0.10929567063602,0.439128435997955,0.0164961371345747,0.12593886737782,0.0142162364384587,0.0442836187481007,0.033891734106228,0.136973575135186,0.210205942479609,0.109173317917257,0.106014772166008,0.150622889528958,0.0,0.0,0.0128777425612715,0.0,0.0,0.0341189674523008,0.0602899059184044,0.0,0.038090682181621,0.206946881682745,0.163897939279026,0.071301668778723,0.0208287068472749,0.0387512227337981,0.0282329116948859,0.0,0.0107823131370828,0.163708276114591,0.0232448139296564,0.0689546991035551,0.0381342214834861,0.0717210204921607,0.0,0.0849316081354131,0.119511899512536,0.12623139939304,0.0464775119776879,0.0,0.0,0.141355418936594,0.0214284660686423,0.0331803457476028,0.141687318938485,0.124830374139906,0.0,0.0,0.0811272499636701,0.0417489923495169,0.00924796013627988,0.0964227728398998,0.0151569219444068,0.0481186129096132,0.157660911513364,0.0,0.0219728215009835,0.0,0.0,0.532862407862408,0.267386358567159,0.666326530612245,0.432010648829864,0.0,0.256090180506961,0.597242335179929,0.0236110161962687,0.00502641526912379,0.178098506051477,0.0438162363668509,0.865362249435589,0.303613233505257,0.0,0.0,0.0783410138248848
butyric acid,0.0872475177380575,0.0261481729802213,0.126588627696974,0.10929567063602,0.36667538165228,0.0209506370921354,0.170878145769703,0.0,0.0759935960481819,0.11798085623637,0.413214744086123,0.1689523965769,0.384438955435572,0.115190048410346,0.266279638752468,0.0,0.0,0.0128777425612715,0.0,0.0,0.0,0.00515360407364271,0.0,0.099708489815368,0.0512364723001614,0.0382454572746621,0.060842411831428,0.113474902395781,0.0,0.0,0.0,0.0843403468292505,0.126568461715599,0.0,0.0728945164202806,0.0,0.0733251317556233,0.0,0.0879679414129008,0.264349159441581,0.191907902256482,0.0606037808055118,0.0,0.0550708930611079,0.0,0.0424879616533848,0.026195009800739,0.133920036912677,0.0,0.0,0.0,0.0974461099418637,0.0521071948894866,0.0170351579099392,0.0,0.0,0.0735981615997233,0.0,0.0115980280931844,0.0258792719232334,0.010214570470206,0.0,0.483108108108108,0.222219743944328,0.36530612244898,0.636385239951542,0.0134324308960459,0.306115680063321,0.224254961522132,0.0470511856762113,0.00223572414178693,0.261440324796133,0.0151109487281525,0.949750290757337,0.233423077372321,0.0,0.0,0.0783410138248848
pentanoic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.247872074657746,0.0,0.0662034800114807,0.113257065533973,0.134029506630421,0.111972672169101,0.0904813446003883,0.156392834309746,0.154798552918882,0.0,0.0,0.0236091946956644,0.0,0.0,0.0,0.00515360407364271,0.0,0.178278845053753,0.0,0.11730706233303,0.071301668778723,0.0208287068472749,0.290704460729458,0.0,0.0,0.0755886306863667,0.151806804630736,0.0,0.0603030756657859,0.0,0.0717210204921607,0.0,0.0660576345477512,0.482350960544711,0.107383767690833,0.0333765043607796,0.0,0.0,0.0,0.0819258788328363,0.0384193477077506,0.104639072944278,0.0,0.0,0.0,0.0698414112785959,0.0417489923495169,0.0136705450494682,0.0,0.0,0.00314221297381237,0.0,0.0,0.014911411046273,0.0,0.0,0.533476658476658,0.24028638979346,0.285714285714286,0.287308052862579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hexanoic acid,0.123132326155861,0.0915186054307744,0.0890610661078074,0.0531708667959014,0.19487511833845,0.0655600966596461,0.219155200344374,0.0,0.0686293501731276,0.0813875933720366,0.142817724253111,0.0804583872025272,0.12534133326333,0.165186896603515,0.334929299062064,0.0,0.0,0.025755485122543,0.0,0.0,0.0,0.116756621029297,0.0,0.0831687061284849,0.0,0.10964882102415,0.116989659073648,0.0208287068472749,0.0,0.0,0.0,0.0610550194812067,0.141068811893738,0.0,0.0665153418745806,0.0,0.0829719558049739,0.0,0.0818662174138386,0.0527120797950202,0.176544150984012,0.0351946508168096,0.0,0.0,0.0,0.063668159722413,0.0244486758140231,0.138319145356281,0.0,0.0,0.0,0.0974461099418637,0.0458922733655048,0.0147335705901496,0.0,0.0,0.0542296578262717,0.0,0.0,0.0255531555843904,0.0,0.0,0.108722358722359,0.285453004416291,0.159183673469388,0.212859615806948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124423963133641
heptanoic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.198698220562115,0.0,0.0566350377258539,0.0672287392568021,0.0848006012692996,0.0548219614397622,0.140708089723841,0.0693374017055068,0.0896999825026172,0.0,0.0,0.0150240329881501,0.0,0.0,0.0,0.0242144365951538,0.0,0.0964053229694439,0.0,0.110163799325914,0.0459795567563992,0.113474902395781,0.0,0.0,0.0,0.0408531852563304,0.1805892412155,0.0,0.0525715292470565,0.0,0.0527077103058883,0.0,0.0561359132303256,0.0139776278250603,0.15338957645425,0.00955685696920294,0.0,0.0,0.0,0.016531500227819,0.04941399811232,0.128214807414768,0.0,0.0,0.0,0.0516158074299167,0.0500355543814927,0.0173375852157299,0.0,0.0,0.0144373242873496,0.0,0.0,0.022503472425704,0.0,0.0,0.145577395577396,0.310746308605076,0.220408163265306,0.0639627416956837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
octanoic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0961373649447357,0.0,0.0449502761471687,0.0654783409894814,0.0685361297688728,0.0495482429106718,0.0969673517866703,0.0658135041931897,0.0538059092431131,0.0,0.0,0.0236091946956644,0.0,0.0,0.0,0.00309216244418562,0.0,0.0465684515696081,0.0,0.115023940897213,0.071301668778723,0.0332973645862552,0.0,0.0,0.0,0.0494740409411808,0.17557830068188,0.0,0.0564810066456328,0.0,0.0209403021730898,0.0,0.0561359132303256,0.00119396507988847,0.168615579254577,0.0177350707747233,0.0,0.0,0.0,0.0137959957286611,0.0349266797343187,0.232639912382243,0.0,0.0,0.0,0.0579352420279559,0.0583221164134684,0.0179230433498606,0.0,0.0,0.00942663892143713,0.0,0.0,0.0262546681072733,0.0,0.0,0.125614250614251,0.272806352321898,0.179591836734694,0.0880798410235645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonanoic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.089841260102792,0.0,0.0449502761471687,0.0600717188818825,0.0578514035952385,0.0551499096279156,0.0669967762253379,0.065402877598479,0.0791414293912384,0.0,0.0,0.0107314521343929,0.0,0.0,0.0,0.0342969062640888,0.0,0.0331858424554211,0.0,0.110935016327688,0.0367836454051193,0.0182251184913656,0.0,0.0,0.0,0.0309751816784146,0.196864975354294,0.0,0.0577640141437555,0.0,0.0275997278747651,0.0,0.0387336993445788,0.00716379047933081,0.149835662618577,0.0228108342678195,0.0,0.0,0.0,0.0137959957286611,0.04941399811232,0.148423758088609,0.0,0.0,0.0,0.0516158074299167,0.0500355543814927,0.018281880790926,0.0,0.0,0.00471331946071856,0.0,0.0,0.0265386231588662,0.0,0.0,0.233108108108108,0.229446402283981,0.206122448979592,0.125828344319378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124423963133641
linoleic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0335274533972494,0.285085939126247,0.0848006012692996,0.0662519699880707,0.0,0.0493057300258717,0.0584474360754266,0.0,0.0,0.0300480659763001,0.0,0.0,0.0,0.00515360407364271,0.0,0.184766242607546,0.0,0.0,0.0390826232429393,0.187246530332916,0.0,0.0,0.0,0.098980898423606,0.14737197775671,0.0,0.0564810066456328,0.0,0.0337891649116392,0.0,0.0849316081354131,0.0107456857189962,0.0,0.00796121162044752,0.0,0.0,0.0,0.0137959957286611,0.0530356666894407,0.198951037147584,0.0,0.0,0.0,0.0579352420279559,0.037605711333529,0.0,0.0,0.0,0.00942663892143713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isobutyric acid,0.0,0.0,0.0,0.0,0.0,0.0,0.131561810792131,0.0,0.0449502761471687,0.0894492711829566,0.134029506630421,0.148688080504223,0.110962921349984,0.110569112074025,0.143346603831489,0.0,0.0,0.0128777425612715,0.0,0.0,0.0,0.00812988324652515,0.0,0.0632414395659673,0.0,0.0721216735740528,0.071301668778723,0.0332973645862552,0.0,0.0,0.0,0.0755886306863667,0.161001119211799,0.0,0.0628094442005076,0.0,0.0851895318239305,0.0,0.0660576345477512,0.0107456857189962,0.180381250660415,0.0370300090375737,0.0,0.0,0.0,0.0429079500716579,0.0314340117608869,0.121478733494253,0.0,0.0,0.0,0.0783473019005756,0.0479639138734987,0.0099213632831957,0.0,0.0,0.0450658529660523,0.0,0.0,0.00456946916720542,0.0,0.0,0.348587223587224,0.231253066868894,0.342857142857143,0.239073854206818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isopentanoic acid,0.134173805669031,0.108950720750922,0.0466818136549116,0.0856641742822856,0.34632796581749,0.00928025526196329,0.180823098018804,0.0,0.0590076255642445,0.0706053387256676,0.145718094973051,0.115003408649898,0.0,0.138798191838815,0.162134225269163,0.0,0.0,0.0107314521343929,0.0,0.0,0.0,0.00618432488837125,0.0,0.0765359653863246,0.0,0.0,0.0436805789185792,0.0260358835590937,0.0,0.0,0.0,0.0668606961756707,0.160154090634907,0.0,0.0652866592842733,0.0,0.0807452601404137,0.0,0.0692881563970985,0.113522773179183,0.0,0.0407537610159937,0.0,0.136701046901415,0.0,0.0788829256477657,0.04941399811232,0.0709268656782963,0.0,0.0,0.0,0.0783473019005756,0.0500355543814927,0.0,0.0,0.0,0.029829137289877,0.0,0.00534476984620608,0.0,0.0,0.0,0.373771498771499,0.257449703350136,0.238775510204082,0.293599470078548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0783410138248848
