,Or2a,Or7a,Or9a,Or10a,Or13a,Or19a,Or22a,Or22b,Or23a,Or33a,Or33b,Or33c,Or35a,Or42a,Or42b,Or43a,Or43b,Or46a,Or47a,Or47b,Or49a,Or49b,Or59b,Or59c,Or65a,Or67a,Or67b,Or67c,Or67d,Or71a,Or82a,Or85a,Or85b,Or85d,Or85e,Or85f,Or88a,Or92a,Or98a,Gr21a.Gr63a,ab4B,Or69a,Ir31a,Ir41a,Ir75a,Ir75d,Ir76a,Ir84a,Ir92a,Ir64a.DC4,Ir64a.DP1m,Or83c
acetic acid,0.0613929806984551,0.0611838650292284,0.103746891075084,0.0175375451244834,0.0394095080520441,0.0999537428852865,0.1407523632563,0.0,0.0171703234150286,0.0,0.0342969062640888,0.0,0.0565795823044691,0.0,0.0330799471732554,0.0952840397914614,0.0332973645862552,0.0,0.0428336781632899,0.124782317540054,0.0,0.06405148917545,0.0717210204921607,0.0,0.0724828524154027,0.00596982539944234,0.185502704707308,0.0245324699453187,0.0,0.0,0.0408633953741835,0.04941399811232,0.0945356323420958,0.0,0.0,0.0698414112785959,0.0458922733655048,0.00822881578408516,0.0726080008843418,0.142120307979525,0.00675410604604194,0.270577395577396,0.045645874121453,0.294425065901394,0.644234722765712,0.0828606574181644,0.0,0.169906351691273,0.00852058970255313,1.0,0.490997964519858,0.115207373271889
propanoic acid,0.0442836187481007,0.033891734106228,0.136973575135186,0.210205942479609,0.109173317917257,0.106014772166008,0.150622889528958,0.0,0.0128777425612715,0.0341189674523008,0.0602899059184044,0.0,0.038090682181621,0.206946881682745,0.163897939279026,0.071301668778723,0.0208287068472749,0.0,0.0107823131370828,0.163708276114591,0.0232448139296564,0.0689546991035551,0.0717210204921607,0.0,0.0849316081354131,0.119511899512536,0.12623139939304,0.0464775119776879,0.0,0.0,0.0214284660686423,0.0331803457476028,0.141687318938485,0.0,0.0,0.0811272499636701,0.0417489923495169,0.00924796013627988,0.0481186129096132,0.157660911513364,0.0219728215009835,0.532862407862408,0.0,0.256090180506961,0.597242335179929,0.0236110161962687,0.00502641526912379,0.178098506051477,0.0438162363668509,0.865362249435589,0.303613233505257,0.0783410138248848
butyric acid,0.0759935960481819,0.11798085623637,0.413214744086123,0.1689523965769,0.384438955435572,0.115190048410346,0.266279638752468,0.0,0.0128777425612715,0.0,0.00515360407364271,0.0,0.099708489815368,0.0512364723001614,0.0382454572746621,0.060842411831428,0.113474902395781,0.0,0.0843403468292505,0.126568461715599,0.0,0.0728945164202806,0.0733251317556233,0.0,0.0879679414129008,0.264349159441581,0.191907902256482,0.0606037808055118,0.0,0.0550708930611079,0.0424879616533848,0.026195009800739,0.133920036912677,0.0,0.0,0.0974461099418637,0.0521071948894866,0.0170351579099392,0.0735981615997233,0.0,0.0258792719232334,0.483108108108108,0.0134324308960459,0.306115680063321,0.224254961522132,0.0470511856762113,0.00223572414178693,0.261440324796133,0.0151109487281525,0.949750290757337,0.233423077372321,0.0783410138248848
pentanoic acid,0.0662034800114807,0.113257065533973,0.134029506630421,0.111972672169101,0.0904813446003883,0.156392834309746,0.154798552918882,0.0,0.0236091946956644,0.0,0.00515360407364271,0.0,0.178278845053753,0.0,0.11730706233303,0.071301668778723,0.0208287068472749,0.0,0.0755886306863667,0.151806804630736,0.0,0.0603030756657859,0.0717210204921607,0.0,0.0660576345477512,0.482350960544711,0.107383767690833,0.0333765043607796,0.0,0.0,0.0819258788328363,0.0384193477077506,0.104639072944278,0.0,0.0,0.0698414112785959,0.0417489923495169,0.0136705450494682,0.00314221297381237,0.0,0.014911411046273,0.533476658476658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hexanoic acid,0.0686293501731276,0.0813875933720366,0.142817724253111,0.0804583872025272,0.12534133326333,0.165186896603515,0.334929299062064,0.0,0.025755485122543,0.0,0.116756621029297,0.0,0.0831687061284849,0.0,0.10964882102415,0.116989659073648,0.0208287068472749,0.0,0.0610550194812067,0.141068811893738,0.0,0.0665153418745806,0.0829719558049739,0.0,0.0818662174138386,0.0527120797950202,0.176544150984012,0.0351946508168096,0.0,0.0,0.063668159722413,0.0244486758140231,0.138319145356281,0.0,0.0,0.0974461099418637,0.0458922733655048,0.0147335705901496,0.0542296578262717,0.0,0.0255531555843904,0.108722358722359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124423963133641
heptanoic acid,0.0566350377258539,0.0672287392568021,0.0848006012692996,0.0548219614397622,0.140708089723841,0.0693374017055068,0.0896999825026172,0.0,0.0150240329881501,0.0,0.0242144365951538,0.0,0.0964053229694439,0.0,0.110163799325914,0.0459795567563992,0.113474902395781,0.0,0.0408531852563304,0.1805892412155,0.0,0.0525715292470565,0.0527077103058883,0.0,0.0561359132303256,0.0139776278250603,0.15338957645425,0.00955685696920294,0.0,0.0,0.016531500227819,0.04941399811232,0.128214807414768,0.0,0.0,0.0516158074299167,0.0500355543814927,0.0173375852157299,0.0144373242873496,0.0,0.022503472425704,0.145577395577396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
octanoic acid,0.0449502761471687,0.0654783409894814,0.0685361297688728,0.0495482429106718,0.0969673517866703,0.0658135041931897,0.0538059092431131,0.0,0.0236091946956644,0.0,0.00309216244418562,0.0,0.0465684515696081,0.0,0.115023940897213,0.071301668778723,0.0332973645862552,0.0,0.0494740409411808,0.17557830068188,0.0,0.0564810066456328,0.0209403021730898,0.0,0.0561359132303256,0.00119396507988847,0.168615579254577,0.0177350707747233,0.0,0.0,0.0137959957286611,0.0349266797343187,0.232639912382243,0.0,0.0,0.0579352420279559,0.0583221164134684,0.0179230433498606,0.00942663892143713,0.0,0.0262546681072733,0.125614250614251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nonanoic acid,0.0449502761471687,0.0600717188818825,0.0578514035952385,0.0551499096279156,0.0669967762253379,0.065402877598479,0.0791414293912384,0.0,0.0107314521343929,0.0,0.0342969062640888,0.0,0.0331858424554211,0.0,0.110935016327688,0.0367836454051193,0.0182251184913656,0.0,0.0309751816784146,0.196864975354294,0.0,0.0577640141437555,0.0275997278747651,0.0,0.0387336993445788,0.00716379047933081,0.149835662618577,0.0228108342678195,0.0,0.0,0.0137959957286611,0.04941399811232,0.148423758088609,0.0,0.0,0.0516158074299167,0.0500355543814927,0.018281880790926,0.00471331946071856,0.0,0.0265386231588662,0.233108108108108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.124423963133641
linoleic acid,0.0335274533972494,0.285085939126247,0.0848006012692996,0.0662519699880707,0.0,0.0493057300258717,0.0584474360754266,0.0,0.0300480659763001,0.0,0.00515360407364271,0.0,0.184766242607546,0.0,0.0,0.0390826232429393,0.187246530332916,0.0,0.098980898423606,0.14737197775671,0.0,0.0564810066456328,0.0337891649116392,0.0,0.0849316081354131,0.0107456857189962,0.0,0.00796121162044752,0.0,0.0,0.0137959957286611,0.0530356666894407,0.198951037147584,0.0,0.0,0.0579352420279559,0.037605711333529,0.0,0.00942663892143713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isobutyric acid,0.0449502761471687,0.0894492711829566,0.134029506630421,0.148688080504223,0.110962921349984,0.110569112074025,0.143346603831489,0.0,0.0128777425612715,0.0,0.00812988324652515,0.0,0.0632414395659673,0.0,0.0721216735740528,0.071301668778723,0.0332973645862552,0.0,0.0755886306863667,0.161001119211799,0.0,0.0628094442005076,0.0851895318239305,0.0,0.0660576345477512,0.0107456857189962,0.180381250660415,0.0370300090375737,0.0,0.0,0.0429079500716579,0.0314340117608869,0.121478733494253,0.0,0.0,0.0783473019005756,0.0479639138734987,0.0099213632831957,0.0450658529660523,0.0,0.00456946916720542,0.348587223587224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isopentanoic acid,0.0590076255642445,0.0706053387256676,0.145718094973051,0.115003408649898,0.0,0.138798191838815,0.162134225269163,0.0,0.0107314521343929,0.0,0.00618432488837125,0.0,0.0765359653863246,0.0,0.0,0.0436805789185792,0.0260358835590937,0.0,0.0668606961756707,0.160154090634907,0.0,0.0652866592842733,0.0807452601404137,0.0,0.0692881563970985,0.113522773179183,0.0,0.0407537610159937,0.0,0.136701046901415,0.0788829256477657,0.04941399811232,0.0709268656782963,0.0,0.0,0.0783473019005756,0.0500355543814927,0.0,0.029829137289877,0.0,0.0,0.373771498771499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0783410138248848
pyruvic acid,0.0566350377258539,0.162561660239941,0.142817724253111,0.116175705931432,0.0,0.0961186335728621,0.148105918274862,0.0,0.0171703234150286,0.0,0.00412288325891417,0.0,0.0765359653863246,0.0,0.0,0.090697297193029,0.0260358835590937,0.0,0.0814204319126974,0.14737197775671,0.0,0.0590378680945079,0.0624273806433213,0.0,0.0849316081354131,0.0214886865895476,0.0,0.0333765043607796,0.0,0.0,0.0124282434790821,0.027941343787455,0.0810592750609101,0.0,0.0,0.0669366120121212,0.0624653974294564,0.0,0.0197483605942091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-ethylhexanoic acid,0.0566350377258539,0.0784547340016948,0.0880007550650401,0.0690365531589286,0.0,0.0756400242839999,0.106933890605322,0.0,0.0150240329881501,0.0,0.00103072081472854,0.0,0.0331858424554211,0.0,0.0,0.0137938670269198,0.234078510252024,0.0,0.0960472537649307,0.157656093854446,0.0,0.0564810066456328,0.0647833577064586,0.0,0.0692881563970985,0.00716379047933081,0.0,0.0280220094670534,0.0,0.0,0.0151637479782401,0.0419120156811825,0.337097170943843,0.0,0.0,0.0838854221763205,0.0313907898095472,0.0,0.0267871183233123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
