,pre_root_id,post_root_id,neuropil,syn_count,nt_type
1766,720575940631510865,720575940648650884,AL_L,26,ACH
1768,720575940626534226,720575940623528925,AL_L,86,ACH
1772,720575940624853600,720575940631619921,AL_L,8,ACH
1788,720575940621482665,720575940618308825,AL_L,56,ACH
1795,720575940613664874,720575940631683927,AL_L,60,ACH
1802,720575940629906060,720575940617175965,AL_L,95,ACH
1814,720575940615060290,720575940627265274,AL_L,7,ACH
1816,720575940626179334,720575940627265274,AL_L,7,ACH
1820,720575940614691690,720575940623528925,AL_L,69,ACH
1822,720575940628599296,720575940628914692,AL_L,9,ACH
1825,720575940613664874,720575940628914692,AL_L,11,ACH
1827,720575940628277147,720575940628914436,AL_L,6,ACH
1836,720575940633367377,720575940618308825,AL_L,100,ACH
1841,720575940626614405,720575940616169578,AL_L,19,ACH
1869,720575940626107800,720575940606762686,AL_L,42,ACH
1874,720575940608376132,720575940613489617,AL_L,12,ACH
1902,720575940653892257,720575940648650884,AL_L,49,ACH
1905,720575940628499322,720575940637910106,AL_L,5,ACH
1913,720575940610686162,720575940618385620,AL_L,18,ACH
1939,720575940628953210,720575940632403986,AL_L,53,ACH
1955,720575940631925096,720575940624057853,AL_L,93,ACH
1986,720575940622084681,720575940627066757,AL_L,47,ACH
2003,720575940641979277,720575940623636701,AL_L,22,ACH
2050,720575940628499322,720575940626143806,AL_L,30,ACH
2077,720575940609577518,720575940641592795,AL_L,6,ACH
2127,720575940625814274,720575940634771552,AL_L,17,ACH
2137,720575940629239852,720575940632795532,AL_L,10,ACH
2140,720575940622211845,720575940621398254,AL_L,5,ACH
2148,720575940618293883,720575940625251401,AL_L,10,ACH
2149,720575940623302669,720575940606762686,AL_L,19,ACH
2159,720575940645728132,720575940618308825,AL_L,127,ACH
2172,720575940626614405,720575940618308825,AL_L,100,ACH
2178,720575940642599328,720575940623000858,AL_L,20,ACH
2189,720575940620714921,720575940628059722,AL_L,16,ACH
2195,720575940616923945,720575940611379569,AL_L,9,SER
2205,720575940638818357,720575940617552541,AL_L,13,ACH
2229,720575940628285450,720575940618757666,AL_L,5,ACH
2240,720575940610686162,720575940623000858,AL_L,6,ACH
2242,720575940631885485,720575940623000858,AL_L,5,ACH
2246,720575940623087859,720575940623636701,AL_L,42,ACH
2250,720575940645728132,720575940606751922,AL_L,5,ACH
2269,720575940619280110,720575940623528925,AL_L,71,ACH
2308,720575940631925096,720575940628059722,AL_L,38,ACH
2348,720575940606915849,720575940613970147,AL_L,9,ACH
2363,720575940642599328,720575940639892413,AL_L,14,ACH
2369,720575940638818357,720575940617175965,AL_L,15,ACH
2383,720575940638818357,720575940630077558,AL_L,8,ACH
2399,720575940617984297,720575940617175965,AL_L,13,SER
2416,720575940621740493,720575940638775118,AL_L,13,ACH
2448,720575940619219627,720575940633212441,AL_L,7,ACH
2489,720575940622375389,720575940627604327,AL_L,40,ACH
2531,720575940628677114,720575940639892413,AL_L,43,ACH
2538,720575940616532310,720575940624057853,AL_L,8,ACH
2543,720575940620981274,720575940633212441,AL_L,7,ACH
2547,720575940610694866,720575940632403986,AL_L,2,DA
2616,720575940624366323,720575940623636701,AL_L,9,ACH
2638,720575940609924306,720575940606762686,AL_L,61,ACH
2641,720575940634733537,720575940628059722,AL_L,8,ACH
2653,720575940628976887,720575940638775118,AL_L,6,ACH
2703,720575940607085323,720575940624057853,AL_L,27,ACH
2709,720575940614427567,720575940624057853,AL_L,33,DA
2714,720575940616653030,720575940627604327,AL_L,32,ACH
2738,720575940628564350,720575940617175965,AL_L,37,ACH
2748,720575940626614405,720575940632403986,AL_L,32,ACH
2757,720575940609924306,720575940639892413,AL_L,55,ACH
2768,720575940626811023,720575940623788040,AL_L,12,ACH
2772,720575940632239661,720575940624057853,AL_L,6,ACH
2788,720575940634733537,720575940630077558,AL_L,12,ACH
2795,720575940614548765,720575940606762686,AL_L,6,ACH
2810,720575940614212514,720575940623528925,AL_L,59,ACH
2812,720575940628499322,720575940611379569,AL_L,7,SER
2828,720575940620981274,720575940648650884,AL_L,35,ACH
2835,720575940631510865,720575940631683927,AL_L,1,SER
2839,720575940613664874,720575940618308825,AL_L,166,ACH
2850,720575940622745834,720575940628023685,AL_L,45,ACH
2871,720575940627000582,720575940623788040,AL_L,13,ACH
2873,720575940624853600,720575940632403986,AL_L,40,ACH
2882,720575940624853600,720575940648650884,AL_L,35,ACH
2900,720575940610686162,720575940611379569,AL_L,13,ACH
2908,720575940615696490,720575940639892413,AL_L,35,ACH
2925,720575940617984297,720575940624057853,AL_L,26,ACH
2934,720575940628599296,720575940628200506,AL_L,19,ACH
2942,720575940611111907,720575940606762686,AL_L,6,ACH
2952,720575940609577518,720575940623000858,AL_L,12,ACH
2955,720575940626614405,720575940632795532,AL_L,17,ACH
2975,720575940626107800,720575940648650884,AL_L,137,ACH
3011,720575940623638967,720575940639892413,AL_L,17,ACH
